"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1993:Q4","Silent",69.3,64.5,57.2,49.2,63.3,69.5,64.4,75.8,34.6,33.4,30.4,73
"1993:Q4","BabyBoom",28,32.1,37.8,43.1,31.5,29.4,34.3,22,57.1,59.6,55.2,26
"1993:Q4","GenX",2.6,3.4,4.9,7.7,5.2,1.1,1.3,2.2,8.3,7,14.3,1
"1993:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1994:Q1","Silent",69,64.1,54.5,47.7,67,67.8,66.4,76.3,33.9,32.7,29.6,72.6
"1994:Q1","BabyBoom",28.2,32.1,38.1,44,29.4,30.8,33.2,22,56.4,58.8,55.1,26.4
"1994:Q1","GenX",2.9,3.8,7.4,8.3,3.6,1.4,0.4,1.7,9.6,8.5,15.3,1
"1994:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1994:Q2","Silent",69.9,64.8,53.6,47.1,72.6,66,69.9,77.8,33.1,32,28.5,72
"1994:Q2","BabyBoom",27.4,31.5,38.5,44.1,26,32.1,30.1,20.6,56.6,58.8,55.7,26.8
"1994:Q2","GenX",2.7,3.7,7.9,8.8,1.4,2,0,1.6,10.3,9.2,15.8,1.2
"1994:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1994:Q3","Silent",70.4,65,54.2,47.2,74.4,65,70.9,77.8,32.5,31.4,27.7,71.7
"1994:Q3","BabyBoom",27.3,31.6,39,43.8,25,32.9,29.1,20.5,57.3,59.7,55.9,26.9
"1994:Q3","GenX",2.3,3.4,6.8,9.1,0.6,2.1,0,1.7,10.2,8.8,16.4,1.4
"1994:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1994:Q4","Silent",71.2,65.5,54.4,47,78.2,63.6,73.7,77.8,31.7,30.9,26.4,69.8
"1994:Q4","BabyBoom",26.8,31.2,39.2,43.7,21.8,34.5,26.3,20.5,57.8,60,57,28.6
"1994:Q4","GenX",2,3.2,6.4,9.3,0,1.9,0,1.8,10.5,9.1,16.7,1.6
"1994:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1995:Q1","Silent",70.8,65.2,53.8,46.6,78,63.6,73.6,77.1,31.5,30.7,26.5,69.3
"1995:Q1","BabyBoom",27,31.4,39.5,43.7,22,34.3,26.4,21,57.8,60.2,56,29
"1995:Q1","GenX",2.2,3.4,6.7,9.7,0,2.1,0,1.9,10.7,9.1,17.5,1.8
"1995:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1995:Q2","Silent",70.3,64.8,54.6,47.5,75.9,63.9,70.8,75.5,31.3,30.6,26.1,67.5
"1995:Q2","BabyBoom",27.9,32.3,40.5,42.9,24.1,34.1,29.2,22.3,58.8,61.7,55.4,30.6
"1995:Q2","GenX",1.7,2.9,4.8,9.5,0,2,0,2.3,10,7.7,18.4,1.9
"1995:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1995:Q3","Silent",69.2,63.8,55.2,48.1,72.2,64.6,65.9,73.3,31,30.5,25.7,64.7
"1995:Q3","BabyBoom",29,33.3,40.9,42.4,26.9,33.4,32.9,24.3,59.2,62.3,55.3,33.3
"1995:Q3","GenX",1.8,2.9,3.9,9.4,0.9,2,1.2,2.4,9.8,7.2,19,2.1
"1995:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1995:Q4","Silent",67.9,62.6,53.5,47.6,69,63.7,65.2,72.9,30.4,29.9,25.1,64.7
"1995:Q4","BabyBoom",29.8,34,41.8,42.7,28.9,34.1,33.2,24.2,59.3,62.6,55.2,33
"1995:Q4","GenX",2.3,3.4,4.6,9.7,2.1,2.2,1.6,2.8,10.3,7.5,19.8,2.4
"1995:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1996:Q1","Silent",66.6,61.5,51.8,46.8,67.1,63.1,63.7,72.3,30,29.2,25.1,64.5
"1996:Q1","BabyBoom",30.6,34.6,42.4,43.1,30.1,34.7,34.4,24.6,58.9,62.5,53.8,33.5
"1996:Q1","GenX",2.8,3.9,5.8,10.1,2.7,2.2,2,3.1,11.1,8.3,21,2
"1996:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1996:Q2","Silent",66.5,61.3,52.3,46.9,66.5,62.4,63.8,71.9,29.5,28.7,24.8,63.5
"1996:Q2","BabyBoom",30.9,34.9,42.5,43,30.6,35.5,34.3,24.8,59.1,62.8,53.6,34.2
"1996:Q2","GenX",2.5,3.8,5.2,10.1,2.9,2.1,1.9,3.2,11.4,8.5,21.7,2.3
"1996:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1996:Q3","Silent",66.7,61.3,52.4,46.6,67.5,61.5,64.3,72.3,29.1,28.3,24.4,63
"1996:Q3","BabyBoom",30.9,34.9,42.5,43.1,30.2,36.2,34.2,24.3,59,62.7,53.4,34.6
"1996:Q3","GenX",2.4,3.8,5.1,10.3,2.3,2.3,1.6,3.4,11.9,9,22.2,2.4
"1996:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1996:Q4","Silent",65.4,60.2,50.7,45.8,66.1,61.1,62.2,71,28.7,27.9,24.3,63.1
"1996:Q4","BabyBoom",31.5,35.3,42.5,43.5,31.1,35.9,35.5,25.3,58.3,62,52.9,34.6
"1996:Q4","GenX",3.1,4.5,6.8,10.6,2.8,3,2.4,3.7,13,10.2,22.9,2.2
"1996:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1997:Q1","Silent",65.2,60,49.9,45.1,67.5,60.5,61.3,71.8,28.6,27.6,24.4,61.8
"1997:Q1","BabyBoom",31.7,35.4,42.7,43.8,30.4,36.6,36.3,24.8,57.8,61.6,51.9,35.7
"1997:Q1","GenX",3.1,4.6,7.5,11,2.1,2.9,2.4,3.4,13.5,10.8,23.6,2.5
"1997:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1997:Q2","Silent",63.2,58.4,50.2,45.8,62.9,60,57.2,68.9,28.8,27.5,25.4,60.8
"1997:Q2","BabyBoom",33.2,36.6,42.9,43.4,32.9,37.2,38.2,27.1,57.6,61.8,50.3,36.5
"1997:Q2","GenX",3.6,5,6.9,10.8,4.1,2.8,4.6,4,13.6,10.7,24.3,2.7
"1997:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1997:Q3","Silent",62,57.4,50.1,46,60.7,59,55,67.7,28.8,27.4,25.5,62.1
"1997:Q3","BabyBoom",34.1,37.3,43.4,43.2,34.3,37.7,39.5,28.1,57.3,61.7,49.6,35.8
"1997:Q3","GenX",3.9,5.3,6.5,10.8,5,3.2,5.5,4.3,13.9,10.9,24.9,2.2
"1997:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1997:Q4","Silent",61.4,56.8,48.2,44.8,61.5,58.7,54.1,67.5,28.6,27.2,25.2,61.2
"1997:Q4","BabyBoom",34.5,37.5,43.4,43.8,33.9,38.4,40.3,28.1,56.4,60.4,49.8,36.2
"1997:Q4","GenX",4.1,5.6,8.4,11.3,4.6,2.9,5.5,4.5,15,12.4,25,2.6
"1997:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1998:Q1","Silent",59.2,55.2,48.1,45.1,58.3,58,49.6,64.6,29.1,27.3,26.4,61.5
"1998:Q1","BabyBoom",36.1,38.7,43.6,43.5,35.8,39.2,42.7,30.6,55.7,60.1,47.9,35.7
"1998:Q1","GenX",4.7,6.1,8.4,11.4,6,2.8,7.8,4.7,15.2,12.6,25.7,2.7
"1998:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1998:Q2","Silent",58.9,54.9,48.3,44.8,58.7,57.1,49.8,63.7,29.1,27.3,26.1,63.3
"1998:Q2","BabyBoom",36.4,38.9,43.1,43.7,35.6,40.1,42.3,31.6,55.3,59.7,47.8,34.2
"1998:Q2","GenX",4.7,6.2,8.6,11.6,5.7,2.8,7.8,4.7,15.6,13,26.1,2.5
"1998:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1998:Q3","Silent",62,57.4,50.9,45.2,64.5,56.1,55.2,66.6,29.2,27.8,24.4,66.6
"1998:Q3","BabyBoom",34.8,37.8,42.6,43.4,32.6,40.7,39.8,29.4,56,60.5,49.3,30.9
"1998:Q3","GenX",3.2,4.8,6.4,11.4,2.9,3.2,5,4,14.8,11.7,26.3,2.5
"1998:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1998:Q4","Silent",57.2,53.3,47.8,44.2,56.7,56.3,45.6,61,28.3,26.5,25.6,61.6
"1998:Q4","BabyBoom",37.8,40.2,43.7,43.8,37,41.4,45.1,33.5,55.4,59.8,47.5,35.5
"1998:Q4","GenX",4.9,6.5,8.5,12,6.3,2.3,9.3,5.6,16.3,13.6,26.9,2.9
"1998:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1999:Q1","Silent",56.7,52.7,47.4,44.2,56.4,55.8,44.6,59.8,27.7,25.8,25.6,59.5
"1999:Q1","BabyBoom",38.5,40.8,44.6,43.7,37.2,42.1,45.3,34.5,56,60.6,46.8,37.4
"1999:Q1","GenX",4.9,6.4,8,12.1,6.4,2.2,10.1,5.7,16.4,13.5,27.6,3.1
"1999:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1999:Q2","Silent",55,51.2,46.1,43.3,53.8,55.1,42.4,58.3,27,24.9,25.6,57.7
"1999:Q2","BabyBoom",39.5,41.7,44.9,44.1,38.7,42.9,46.2,35.8,55.8,60.5,46.3,39.1
"1999:Q2","GenX",5.4,7,9,12.6,7.5,2,11.4,5.9,17.2,14.6,28.1,3.2
"1999:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1999:Q3","Silent",56.1,52,46.3,42.8,55.8,54,46.3,60,26.1,24.3,24,57.4
"1999:Q3","BabyBoom",38.9,41.3,45.4,44.3,37.7,43.2,44,34.2,56.5,61,47.6,39.5
"1999:Q3","GenX",5,6.7,8.3,12.9,6.5,2.8,9.7,5.8,17.4,14.7,28.4,3.2
"1999:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1999:Q4","Silent",53.4,49.7,45.3,42.3,50.7,52.9,41.6,58,26,23.6,24.8,57
"1999:Q4","BabyBoom",40.4,42.4,45.5,44.5,40.4,44.7,45.8,34.7,55.8,60.4,46.7,39.7
"1999:Q4","GenX",6.3,7.9,9.2,13.2,8.9,2.4,12.6,7.3,18.2,16,28.5,3.3
"1999:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"2000:Q1","Silent",52.3,48.8,44.9,41.7,49.7,51.2,42.4,56.8,25.9,23.2,24.7,56.9
"2000:Q1","BabyBoom",41.2,43.1,45.8,44.6,41,46,44.7,36.5,55.7,60.3,46.7,39.8
"2000:Q1","GenX",6.5,8.1,9.3,13.7,9.3,2.9,12.9,6.7,18.4,16.4,28.6,3.3
"2000:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"2000:Q2","Silent",52.9,49.1,44.4,40.7,51.9,49.7,45.9,57.4,25.1,22.6,23.4,56.8
"2000:Q2","BabyBoom",40.9,42.9,46,45.1,39.8,47,42.1,36.1,55.9,60.2,47.8,39.8
"2000:Q2","GenX",6.2,7.9,9.6,14.2,8.3,3.3,12,6.5,19,17.1,28.8,3.4
"2000:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"2000:Q3","Silent",52.9,49,44.8,40.7,51.9,48.4,46.5,57.8,24.5,22.4,22.2,57
"2000:Q3","BabyBoom",41,43.2,46.5,45.1,39.9,47.9,42,35.4,56.6,60.8,48.9,39.7
"2000:Q3","GenX",6,7.8,8.7,14.3,8.2,3.7,11.4,6.7,18.9,16.8,28.8,3.4
"2000:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"2000:Q4","Silent",53.7,49.4,43.6,39.1,55.2,47.4,50.2,58.3,23.3,21.7,20.1,56.5
"2000:Q4","BabyBoom",40.5,42.9,46.6,46,38.3,48.4,40.4,34.9,56.9,60.5,50.9,39.7
"2000:Q4","GenX",5.8,7.7,9.8,14.9,6.5,4.2,9.5,6.8,19.8,17.8,28.9,3.8
"2000:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"2001:Q1","Silent",54.2,49.6,42.8,38,57.2,46.8,53.1,59.5,22.2,21.2,18.1,57.1
"2001:Q1","BabyBoom",40.3,42.8,46.6,46.7,37.5,48.9,39.9,33.9,57.5,60.5,52.7,38.8
"2001:Q1","GenX",5.5,7.6,10.6,15.3,5.3,4.4,7,6.6,20.3,18.3,29.2,4
"2001:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"2001:Q2","Silent",52.6,48.2,42.6,37.8,53.7,46.3,49.4,57.5,21.7,20.6,18,58.2
"2001:Q2","BabyBoom",41.7,44,46.9,46.8,39.5,49.8,42.6,35.7,57.5,60.8,52.1,37.9
"2001:Q2","GenX",5.7,7.8,10.4,15.4,6.8,3.9,8,6.8,20.7,18.6,29.9,3.9
"2001:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"2001:Q3","Silent",53.8,48.9,43.1,37.3,56.8,45.3,53.2,58.5,21.3,20.2,15.5,60.2
"2001:Q3","BabyBoom",41.3,43.8,47.2,47.1,38.2,50.4,41.5,34.9,57.8,60.7,54.4,36
"2001:Q3","GenX",4.8,7.2,9.7,15.4,5,4.4,5.3,6.6,20.7,18.9,29.7,3.7
"2001:Q3","Millennial",0,0.1,0.1,0.2,0,0,0,0.1,0.2,0.2,0.4,0
"2001:Q4","Silent",52.1,47.4,41.9,37,52.6,45.4,48.2,57.9,20.2,19.3,16.2,57.3
"2001:Q4","BabyBoom",42.2,44.3,46.9,46.8,40.7,50.7,44.5,34.3,57,59.9,51.9,39
"2001:Q4","GenX",5.7,7.9,10.7,15.8,6.7,3.4,7.3,7.6,21,18.9,30.1,3.7
"2001:Q4","Millennial",0.1,0.3,0.5,0.4,0,0.5,0,0.2,1.8,1.8,1.8,0.1
"2002:Q1","Silent",51.3,46.7,40.4,36.5,52.3,44.9,47.7,57.7,19.7,18.7,16.3,55.3
"2002:Q1","BabyBoom",42.5,44.5,46.5,46.9,41.1,51,44.9,34.6,56.1,58.8,51.1,40.8
"2002:Q1","GenX",6,8.4,11.9,16.1,6.6,3.7,7.4,7.5,22.1,20.4,30.4,3.9
"2002:Q1","Millennial",0.2,0.5,1.1,0.4,0,0.4,0,0.1,2,2.1,2.2,0.1
"2002:Q2","Silent",52,46.9,39.1,35.7,54.5,44.3,51.4,59,18.7,18,15.3,53.5
"2002:Q2","BabyBoom",42.2,44.3,46.2,47.6,40.4,51.5,43.4,34.6,56,57.6,53.4,42.3
"2002:Q2","GenX",5.5,8.3,13.1,16.6,5.2,4.1,5.2,6.3,23.5,21.8,31.4,4
"2002:Q2","Millennial",0.3,0.5,1.6,0,0,0.1,0,0,1.8,2.5,0,0.1
"2002:Q3","Silent",53.8,48.1,39.5,35.7,59.1,43.5,55.8,61.7,18.1,17.9,13.8,51.2
"2002:Q3","BabyBoom",41.3,43.8,46.8,47.6,38.6,52,41.7,31.9,56.8,58.3,54.2,44.5
"2002:Q3","GenX",4.8,7.8,12.9,16.8,2.4,4.6,2.5,6.4,23.7,21.9,32,4.2
"2002:Q3","Millennial",0,0.3,0.8,0,0,0,0,0,1.4,1.9,0,0.1
"2002:Q4","Silent",53,47.5,39.8,36.1,56.7,43.3,52.2,61,18,17.7,14.5,49.8
"2002:Q4","BabyBoom",42,44.3,47.1,47.2,40.1,52.5,43.9,31.7,56.9,58.6,53,46.1
"2002:Q4","GenX",5.1,8.1,12.8,16.8,3.2,4.2,3.8,7.3,24.1,22.2,32.5,4
"2002:Q4","Millennial",-0.1,0.1,0.3,0,0,0,0,0,1.1,1.5,0,0.1
"2003:Q1","Silent",52.7,47,38.4,35.5,58.1,43.3,52.1,60.9,17.4,16.8,14.6,49.7
"2003:Q1","BabyBoom",42,44.2,46.6,47.5,39.9,52.2,44.4,31.9,55.8,57.4,52.3,46.4
"2003:Q1","GenX",5.2,8.4,13.9,17,2.1,4.5,3.5,7.1,25,23.4,33.1,3.8
"2003:Q1","Millennial",0.1,0.4,1.1,0,0,0,0,0,1.8,2.4,0,0.1
"2003:Q2","Silent",51.2,45.8,38,35.5,53.8,43.4,48.1,58.9,17.7,16.3,15.7,53.1
"2003:Q2","BabyBoom",43,45,46.4,47.1,42.1,52.1,46.5,34,54.9,56.8,50.6,44.1
"2003:Q2","GenX",5.6,8.9,14.3,17.1,4.2,4.5,5.5,7.1,25.6,24.5,33.6,2.8
"2003:Q2","Millennial",0.2,0.4,1.3,0.3,0,0.1,0,0,1.8,2.5,0,0
"2003:Q3","Silent",51,45.6,38.5,35.8,52,43.4,46.5,59,17.6,16.3,15.9,51.9
"2003:Q3","BabyBoom",43.4,45.3,46.9,46.6,43.2,51.9,47.6,33.9,55.2,57.3,50.2,45.1
"2003:Q3","GenX",5.5,8.9,14,17,4.8,4.5,5.9,7.1,26.3,25.1,33.8,3
"2003:Q3","Millennial",0.1,0.3,0.6,0.5,0,0.2,0,0,0.9,1.3,0,0
"2003:Q4","Silent",49.9,44.6,38.2,35.9,49,43.3,43.3,58.2,17.3,15.9,16.8,48.4
"2003:Q4","BabyBoom",44.1,45.8,47.4,46.1,44.8,51.9,49.3,34,55,57.4,48.4,47.3
"2003:Q4","GenX",6,9.3,14.1,17,6.3,4.5,7.4,7.7,26.6,25.5,34,4.2
"2003:Q4","Millennial",0.1,0.2,0.3,0.9,0,0.3,0,0.1,1.1,1.2,0.8,0
"2004:Q1","Silent",48.8,43.9,37.6,35.6,47.8,42.7,42.3,56.4,17.1,15.5,17,48.8
"2004:Q1","BabyBoom",44.7,46.3,47.1,46.2,45.5,52.3,50.1,36.1,54.5,57,47.3,47.2
"2004:Q1","GenX",6.3,9.5,14.6,17.3,6.6,4.8,7.6,7.4,27.1,26.2,34.3,4
"2004:Q1","Millennial",0.2,0.3,0.7,0.9,0,0.3,0,0.1,1.3,1.3,1.4,0
"2004:Q2","Silent",48.8,43.8,38.2,36,47.8,42.1,41.1,56.7,17.2,15.6,17.1,48.9
"2004:Q2","BabyBoom",45.1,46.7,47.8,45.7,45.8,52.7,50.9,36,55,57.8,46.5,47.3
"2004:Q2","GenX",6,9.4,14,17.2,6.3,4.9,7.9,7.2,27.4,26.6,34.5,3.8
"2004:Q2","Millennial",0.1,0.1,0,1.1,0,0.2,0.1,0.1,0.4,0,1.9,0
"2004:Q3","Silent",48.4,43.3,36.8,35.5,48.2,41.4,41.3,57.3,16.4,14.8,17,47.4
"2004:Q3","BabyBoom",45.3,46.8,48,46,45.9,53.1,50.6,35.6,54.5,57,46.5,49.3
"2004:Q3","GenX",6.1,9.7,14.9,17.4,5.9,5.5,7.6,6.9,28.4,27.7,34.9,3.2
"2004:Q3","Millennial",0.2,0.3,0.4,1.1,0,0,0.4,0.2,0.7,0.5,1.6,0
"2004:Q4","Silent",47.1,42.3,36.8,35.3,47,39.8,39.7,55.4,16.8,15.1,16.9,50.2
"2004:Q4","BabyBoom",45.8,47.1,47.9,45.5,46.2,54,51.1,36.2,54.1,56.9,45.9,46.7
"2004:Q4","GenX",6.9,10.3,15.1,17.9,6.7,6.2,8.7,8,28.4,28.1,34.3,3.1
"2004:Q4","Millennial",0.2,0.3,0.1,1.3,0,0,0.6,0.4,0.6,0,2.9,0
"2005:Q1","Silent",46.7,41.9,36.1,34.7,47.8,38.8,40.5,54.8,16.4,14.7,16.8,49.9
"2005:Q1","BabyBoom",46,47.2,47.7,45.5,45.8,54.5,50.5,37.2,53.8,56.2,46.1,47.4
"2005:Q1","GenX",7.1,10.5,15.8,18.6,6.3,6.7,8.4,7.5,28.8,28.2,35.3,2.7
"2005:Q1","Millennial",0.3,0.4,0.4,1.2,0.2,0,0.7,0.5,1,0.8,1.9,0
"2005:Q2","Silent",45.7,40.9,34.6,33.6,47.9,37.6,40.3,54,15.9,14.2,16.5,49.4
"2005:Q2","BabyBoom",46.3,47.3,47.4,45.8,45.6,55.1,50.3,37.6,52.7,54.6,46.2,47.6
"2005:Q2","GenX",7.6,11.1,16.9,19.5,6.2,7.3,8.6,7.8,29.8,29.5,35.4,2.9
